"LAT","LON","LAT1","LON1","SHIPNAME","ship_type","distance","DATETIME"
59.86867,30.22017,59.86983,30.21433,". PRINCE OF WAVES","Cargo",351,2016-12-14 11:01:03.000000
59.91685,30.02478,59.91311,30.04307,"AALDERDIJK","Cargo",1102,2016-12-20 08:51:03.000000
55.71969,20.8096,55.72534,20.85354,"ADAMAS","Cargo",2826,2016-12-14 22:57:06.000000
59.91283,30.04498,59.90572,30.08003,"ADASTRA","Cargo",2110,2016-12-20 10:25:03.000000
55.7167,21.10772,55.72617,21.08768,"ADELE","Cargo",1640,2016-12-15 05:25:07.000000
57.6565,11.75017,57.6635,11.77983,"ADELINA D","Cargo",1930,2016-12-15 16:05:06.000000
55.73155,20.86157,55.73175,20.84616,"AFRICAN CENDANA","Cargo",966,2016-12-17 08:05:06.000000
55.73736,20.80092,55.11497,19.95943,"AFRICAN GROUSE","Cargo",87325,2016-12-17 02:35:06.000000
54.68866,20.21182,54.68829,20.21381,"AFRICAN MAGNOLIA","Cargo",135,2016-12-17 13:39:03.000000
54.36469,18.66545,54.36948,18.665,"AGNETHE ARCTICA","Cargo",534,2016-12-18 10:35:02.000000
55.71589,21.10918,55.7237,21.09678,"AGOT","Cargo",1166,2016-12-20 06:39:06.000000
54.66873,19.80998,54.41289,18.79975,"AKACIA","Cargo",71184,2016-12-16 11:41:02.000000
54.65045,19.86151,54.65897,19.83891,"AKERDIJK","Cargo",1737,2016-12-20 11:07:04.000000
55.8785,20.8175,55.86231,20.83628,"ALANA","Cargo",2150,2016-12-19 10:31:06.000000
54.64688,19.80007,54.40009,18.681,"ALANA EVITA","Cargo",77342,2016-12-16 00:33:03.000000
54.53768,18.79168,54.79756,18.89722,"ALEXANDER B","Cargo",29717,2016-12-14 11:47:07.000000
59.91301,30.04308,59.90941,30.06115,"ALLEGRA","Cargo",1085,2016-12-16 21:43:05.000000
59.91003,30.05895,59.90667,30.0754,"ALMENDRO","Cargo",991,2016-12-20 08:51:03.000000
57.64365,11.85809,57.92037,11.60343,"AMANDA","Cargo",34312,2016-12-13 11:31:05.000000
55.70917,21.1208,55.7091,21.12082,"AMATHUS","Cargo",8,2016-12-15 09:39:07.000000
54.6685,19.80217,55.176,19.87267,"AMBAL","Cargo",56674,2016-12-20 08:55:03.000000
54.63288,19.89483,54.65795,19.84142,"AMBER SPIRIT","Cargo",4430,2016-12-19 15:33:03.000000
54.64067,20.02383,54.633,19.89367,"AMELAND","Cargo",8429,2016-12-18 13:43:03.000000
54.655,19.8496,54.63272,19.89502,"AMERDIJK","Cargo",3836,2016-12-13 18:39:03.000000
57.93881,11.68675,57.9162,11.63816,"ANDALUCIA STAR","Cargo",3819,2016-12-14 22:57:05.000000
55.7312,21.01329,55.73262,20.98763,"ANETTA","Cargo",1616,2016-12-16 11:15:07.000000
54.54267,18.7977,54.37297,18.65725,"ANGLIA SEAWAYS","Cargo",20963,2016-12-20 04:11:13.000000
55.70835,20.81501,55.70655,20.80155,"ANGORA","Cargo",868,2016-12-15 08:33:07.000000
57.61167,11.6025,57.6115,11.634,"ANINA","Cargo",1878,2016-12-15 00:51:05.000000
57.93012,11.67011,57.94062,11.68803,"ANJELIERSGRACHT","Cargo",1577,2016-12-16 10:47:05.000000
57.63334,11.69167,57.61783,11.6745,"ANNAMARIE","Cargo",2007,2016-12-15 06:41:05.000000
54.51431,18.99619,54.7311,18.99907,"APL MERLION","Cargo",24134,2016-12-19 19:13:01.000000
55.61112,20.80787,55.00592,19.83046,"ARA ROTTERDAM","Cargo",91506,2016-12-14 19:23:06.000000
54.41162,18.79086,54.39222,18.71154,"ARETHOUSA","Cargo",5575,2016-12-16 13:39:08.000000
54.53872,18.79977,54.79763,18.90078,"ARION","Cargo",29546,2016-12-16 20:35:06.000000
57.61075,11.62227,57.67988,11.81698,"ARK FORWARDER","Cargo",13920,2016-12-17 04:57:05.000000
57.94259,11.69145,57.95189,11.70251,"ASIAN BREEZE","Cargo",1224,2016-12-13 14:29:05.000000
57.91386,11.62603,57.9181,11.60256,"ASIAN VISION","Cargo",1466,2016-12-16 20:33:05.000000
54.52776,18.78247,54.37514,18.65605,"ASKOE","Cargo",18857,2016-12-14 19:57:07.000000
57.655,11.7413,57.64979,11.71182,"ASPEN","Cargo",1849,2016-12-16 04:02:20.000000
57.6118,11.62322,57.60032,11.65497,"ASTRORUNNER","Cargo",2284,2016-12-20 04:39:13.000000
57.64611,11.70513,57.63336,11.69312,"ATLANTIC CARTIER","Cargo",1590,2016-12-19 04:27:05.000000
59.91606,30.02813,59.92031,30.00699,"ATLANTIC NAVIGATORII","Cargo",1271,2016-12-17 14:31:03.000000
59.90658,30.22843,59.90295,30.22353,"ATLANTIC RUNNER","Cargo",488,2016-12-14 15:07:03.000000
54.53234,18.55164,54.67879,18.99666,"ATROTOS HERACLES","Cargo",33001,2016-12-13 11:31:08.000000
59.91502,30.0328,59.90988,30.05801,"AUTO BAY","Cargo",1519,2016-12-14 17:37:04.000000
59.91713,30.02283,59.91349,30.04114,"AUTUMN WAVE","Cargo",1099,2016-12-19 09:41:03.000000
59.9152,30.03243,59.91896,30.01413,"AVELONA STAR","Cargo",1104,2016-12-17 02:47:04.000000
55.67568,21.14048,55.66048,21.14977,"BALDER","Cargo",1790,2016-12-19 16:33:15.000000
59.90739,30.07238,59.9126,30.04639,"BALTIC HEATHER","Cargo",1562,2016-12-20 02:19:03.000000
59.90835,30.06593,59.91237,30.04677,"BALTIC PATRIOT","Cargo",1159,2016-12-18 05:49:03.000000
59.9075,30.07083,59.91117,30.05283,"BALTIC PERFORMER","Cargo",1085,2016-12-13 15:33:03.000000
59.91264,30.04653,59.91522,30.03235,"BALTIC PIONEER","Cargo",842,2016-12-20 05:05:04.000000
59.90623,30.22779,59.91137,30.23448,"BALTIC PRIME","Cargo",683,2016-12-18 15:51:03.000000
57.63161,11.68412,57.6458,11.70329,"BALTICA","Cargo",1949,2016-12-19 14:49:05.000000
54.53673,18.79693,54.44143,18.64686,"BALTICA HAV","Cargo",14377,2016-12-19 10:31:07.000000
54.98353,19.80258,54.67425,19.80733,"BALTIYSK","Cargo",34430,2016-12-17 11:53:03.000000
54.53776,18.79856,54.7842,18.79944,"BALTIYSKIY-202","Cargo",27434,2016-12-14 18:21:07.000000
59.9205,30.006,59.91767,30.02017,"BARMBEK","Cargo",851,2016-12-18 09:23:03.000000
57.93184,11.67667,57.94067,11.69033,"BBS SKY","Cargo",1272,2016-12-16 22:17:05.000000
55.13744,19.81967,54.6795,19.80137,"BEATA","Cargo",50991,2016-12-16 18:03:03.000000
57.65701,11.75727,57.65199,11.72603,"BEGONIA SEAWAYS","Cargo",1943,2016-12-18 13:17:05.000000
